,0,1,2
0,-0.17258500917502054,-0.17203391442886723,-0.1850038225296119
1,-0.07713085619876095,-0.005505641188799485,-0.019586510822291212
2,-0.32161830886322973,-0.3091212093259873,-0.3937536491451534
3,-0.09868180474179111,-0.20261746902131594,-0.11774718590249467
4,-0.18220764474478635,-0.4069376115399131,-0.17030407233202932
5,-0.12936063506028306,-0.07882524046317646,-0.11364202563590618
6,-0.2327897409222934,-0.2183648060345806,-0.2152343387005377
7,-0.19804854722938509,-0.2100719328350179,-0.23817009258020755
8,-0.20788506019033812,-0.16064443472428586,-0.3826139911514205
9,-0.3924234151681003,-0.25231267054560574,-0.21573287771926114
10,-0.13922934733836062,-0.14489768244085843,-0.08714331262786587
11,-0.11859458574596121,-0.1518081559298909,-0.15576639822522498
12,-0.21701695451221978,-0.40558579084778035,-0.39565914734007723
13,-0.19742272725578974,-0.42373729810866634,-0.1737191169670051
14,-0.1272656358137063,-0.22235940742729357,-0.19125114873792587
15,-0.05382399459693574,-0.12728456958520207,-0.06627217650485993
16,-0.2122213623340083,-0.36316289545044483,-0.28221887042511173
17,-0.10600973197883376,-0.22377944192090968,-0.10628306130863224
18,-0.09128082103111154,-0.09986962207783104,-0.03631891812906926
19,-0.18165485574334356,-0.1964299537043787,-0.22198536559912632
20,-0.2982609614887507,-0.5065217788006546,-0.4485177919965057
21,-0.2477436752020602,-0.190012294362007,-0.1734112236771433
22,-0.3212592040717155,-0.24328839829001941,-0.3260225505041982
