,0,1,2
0,-0.21098646992113684,-0.23595105074960743,-0.27204405790817576
1,-0.10950290292094512,-0.11843638498745385,-0.06033701318122429
2,-0.3045938494876628,-0.34045230120266257,-0.4067259201581045
3,0.023811341069590326,-0.08488640871207545,-0.06360797258274675
4,0.027344537143775764,-0.26627763530558246,-0.07378478705718165
5,-0.19347242174437226,-0.2718337538989065,-0.3982227875356943
6,-0.28783401929208363,-0.3842998826109755,-0.3309579898867294
7,-0.1779380425896484,-0.13550840819437404,-0.3050488645161073
8,-0.27306439600317445,-0.23036143578881754,-0.5152210840569853
9,-0.20381686144500985,-0.3175655152104123,-0.2487752420670996
10,-0.1639899577034517,-0.1793131226119734,-0.05717998147738178
11,-0.24097174412414651,-0.29422015438441607,-0.23168480434734134
12,-0.26888876961221925,-0.5580948452892113,-0.47457578394215805
13,-0.13434131029707796,-0.38351693177256707,-0.20171218134529745
14,-0.14414823136409075,-0.2872697942553085,-0.30250502318091455
15,0.05767838680199748,-0.2881739642465899,0.07210179907117972
16,-0.17930659394766216,-0.35403283224346505,-0.13376613894353825
17,-0.1560230169853511,-0.16824965885472615,-0.05455529683888913
18,-0.21991180581882955,-0.2241509795155312,-0.047102871333833216
19,-0.30897672725920944,-0.2796042437299411,-0.30669972184476957
20,-0.5823658177366355,-0.6452905561102045,-0.6581828718816704
21,-0.545637074888903,-0.44847424862170965,-0.3618193750874174
22,-0.34883226293254177,-0.2768411301864159,-0.3378361477272832
