"","num_sujet","FB_int","essai_tot","meanMvt","mvtMedian","stdDev_Mvt","LogmedianERD"
"93",3,"1",3,0.480625,0.46,0.436416754184957,-0.121428259503872
"94",3,"1",4,0.296875,0,0.41802262697929,0.0320673374221675
"95",3,"1",5,0.14875,0,0.310867066980942,0.41411986123114
"96",3,"1",6,0.399375,0.1,0.466282728967451,-0.00406751348202508
"97",3,"1",7,0.39125,0.145,0.456229109110762,0.00330936252264457
"98",3,"1",8,0.11375,0,0.295970156153173,0.257168913505477
"99",3,"1",9,0.308125,0,0.437282803229215,0.264007851908277
"100",3,"1",10,0.35875,0.045,0.455,-0.00983092430581114
"101",3,"2",1,0.558125,0.655,0.457445351927419,-0.18716471915234
"102",3,"2",2,0.586875,0.805,0.457379765621524,-0.23318092202936
"103",3,"2",3,0.22125,0,0.398361226359527,0.312407217737688
"104",3,"2",4,0.211875,0,0.381806560970343,0.464383656684245
"105",3,"2",5,0.081875,0,0.25675458450954,0.959825600313339
"106",3,"2",6,0.460625,0.455,0.427386924616715,-0.124783777050783
"107",3,"2",7,0.333125,0,0.421722163673352,0.300933296435862
"108",3,"2",8,0.035,0,0.129717642079505,0.572238926732724
"109",3,"2",9,0.155625,0,0.324858302443799,0.228689864350965
"110",3,"2",10,0,0,0,1.1362485472707
"111",3,"4",1,0.651875,1.04,0.488797418842067,-0.36393447631725
"112",3,"4",2,0.805625,1.04,0.379560601221992,-0.346774120573875
"113",3,"4",3,0.655625,0.85,0.432388232186461,-0.235703973219206
"114",3,"4",4,0.558125,0.7,0.472697489592093,-0.190932596383646
"115",3,"4",5,0.28125,0,0.453150085512515,0.0461072803653852
"116",3,"4",6,0.499375,0.405,0.461265921134436,-0.105967610284291
"117",3,"4",7,0.5375,0.515,0.441927595879687,-0.136829546485328
"118",3,"4",8,0.2675,0,0.395685059948776,0.068359216285247
"119",3,"4",9,0.578125,0.71,0.48184670798917,-0.194190434606012
"120",3,"4",10,0.60375,1.04,0.513184502234171,-0.325201343409465
"121",4,"1",1,0,0,0,0.544261149935265
"122",4,"1",2,0,0,0,0.659689773127196
"123",4,"1",3,0,0,0,0.638512883908142
"124",4,"1",4,0,0,0,0.771870232691821
"125",4,"1",5,0,0,0,0.765503666285855
"126",4,"1",6,0,0,0,0.528109001807559
"127",4,"1",7,0,0,0,0.540190126447099
"128",4,"1",8,0,0,0,0.644944925961654
"129",4,"1",9,0,0,0,0.675964636270431
"130",4,"1",10,0,0,0,0.848068644561101
"131",4,"2",1,0,0,0,0.830464359089598
"132",4,"2",2,0,0,0,0.916458441730334
"133",4,"2",3,0,0,0,0.835096442300748
"134",4,"2",4,0,0,0,0.95841178888376
"135",4,"2",5,0,0,0,0.831479716815666
"136",4,"2",6,0,0,0,0.908846713761061
"137",4,"2",7,0,0,0,0.945319640706463
"138",4,"2",8,0,0,0,1.02794169317975
"139",4,"2",9,0,0,0,1.14345343285212
"140",4,"2",10,0,0,0,1.00972528350791
"141",4,"4",1,0.651875,1.04,0.488797418842067,-0.36393447631725
"142",4,"4",2,0.805625,1.04,0.379560601221992,-0.346774120573875
"143",4,"4",3,0.655625,0.85,0.432388232186461,-0.235703973219206
"144",4,"4",4,0.558125,0.7,0.472697489592093,-0.190932596383646
"145",4,"4",5,0.28125,0,0.453150085512515,0.0461072803653852
"146",4,"4",6,0.499375,0.405,0.461265921134436,-0.105967610284291
"147",4,"4",7,0.5375,0.515,0.441927595879687,-0.136829546485328
"148",4,"4",8,0.2675,0,0.395685059948776,0.068359216285247
"149",4,"4",9,0.578125,0.71,0.48184670798917,-0.194190434606012
"150",4,"4",10,0.60375,1.04,0.513184502234171,-0.325201343409465
"151",5,"1",1,0.96625,1.04,0.150858653491715,-0.792685906718337
"152",5,"1",2,1.038125,1.04,0.00750000000000001,-1.02706742243419
"153",5,"1",3,0.76125,1.04,0.45994021350606,-0.957402120116586
"154",5,"1",4,0,0,0,1.03201752139563
"155",5,"1",5,0,0,0,1.31734831150875
"156",5,"1",6,0.125625,0,0.246115657093706,0.479061411740972
"157",5,"1",7,0.49125,0.48,0.300685328319602,-0.263269484631322
"158",5,"1",8,0.525,0.5,0.317909840468436,-0.273551406628242
"159",5,"1",9,0.68875,0.655,0.23246146634084,-0.379424917914457
"160",5,"1",10,0.319375,0.375,0.295239309713324,-0.197784892134202
"161",5,"2",1,0.01625,0,0.065,0.233294911361136
"162",5,"2",2,0.700625,0.69,0.168264424839794,-0.42312903596826
"163",5,"2",3,0.643125,0.66,0.28822950924567,-0.399690252494046
"164",5,"2",4,0.701875,0.825,0.315472529179114,-0.532702942979951
"165",5,"2",5,0.904375,1,0.138369975066847,-0.709995157259915
"166",5,"2",6,0,0,0,1.06572408091848
"167",5,"2",7,0,0,0,1.50494103091254
"168",5,"2",8,0.010625,0,0.0425,0.883661176915443
"169",5,"2",9,0,0,0,1.62654556530505
"170",5,"2",10,0,0,0,0.89254751356722
"171",5,"4",1,1.0325,1.04,0.0204939015319192,-1.03018269730951
"172",5,"4",2,1.039375,1.04,0.0025,-0.890932072694147
"173",5,"4",3,1.030625,1.04,0.0271952814534679,-1.07371745641685
"174",5,"4",4,1.02375,1.04,0.065,-0.96977968517713
"175",5,"4",5,0.0025,0,0.01,0.274851486566684
"176",5,"4",6,0.005625,0,0.0178768938390687,0.280967658983363
"177",5,"4",7,0,0,0,0.338788919754748
"178",5,"4",8,0.22125,0,0.38122390621086,0.102812031908904
"179",5,"4",9,0.885625,0.97,0.228822165301645,-0.627568076320462
"180",5,"4",10,0,0,0,1.46741541695657
"181",6,"1",1,0.49125,0.53,0.310158561599278,-0.2942829626814
"182",6,"1",2,0.476875,0.43,0.326490811509298,-0.231311921038108
"183",6,"1",3,0.255,0.14,0.281021944576101,-0.0718339489047699
"184",6,"1",4,0.55875,0.785,0.408393192891361,-0.470648083693502
"185",6,"1",5,0.009375,0,0.0349225333178069,0.354511975950827
"186",6,"1",6,0.495,0.55,0.344963766213207,-0.307510838360125
"187",6,"1",7,0.0375,0,0.15,0.556712296297949
"188",6,"1",8,0.544375,0.55,0.272396004620724,-0.308487951393961
"189",6,"1",9,0.85,0.865,0.155991452757301,-0.536828225474529
"190",6,"1",10,0.623125,0.665,0.393289015864923,-0.384044192694251
"191",6,"2",1,0.326875,0.325,0.262137845417254,-0.176652232554235
"192",6,"2",2,0.799375,0.87,0.233194303818368,-0.575683722950458
"193",6,"2",3,0.796875,0.93,0.245593668485163,-0.624507575129952
"194",6,"2",4,0.90375,0.94,0.115751169900495,-0.633906611841112
"195",6,"2",5,0.775,0.87,0.264952825989835,-0.567454694295038
"196",6,"2",6,0.681875,0.715,0.287476810658993,-0.443066402168797
"197",6,"2",7,0.603125,0.645,0.354150980044764,-0.386471628510923
"198",6,"2",8,0.711875,0.79,0.280480985689464,-0.500037773151132
"199",6,"2",9,0.72125,0.885,0.314194737914774,-0.586273202680849
"200",6,"2",10,0.62625,0.87,0.445149787524754,-0.57280916552202
"201",6,"4",1,0,0,0,0.348523298710385
"202",6,"4",2,0,0,0,1.25839526417486
"203",6,"4",3,0.029375,0,0.0804544384522487,0.518870951526072
"204",6,"4",4,0.1675,0.15,0.175442298206561,-0.0770654634679641
"205",6,"4",5,0.34375,0.33,0.295992680089672,-0.172466663868109
"206",6,"4",6,0.22625,0.245,0.220026513553859,-0.123505195029636
"207",6,"4",7,0.1125,0,0.220982653919563,0.554702300822515
"208",6,"4",8,0,0,0,1.21320700646746
"209",6,"4",9,0.110625,0.05,0.134683270428563,-0.0238891476645208
"210",6,"4",10,0.330625,0.3,0.277740136338509,-0.154354562267573
"211",7,"1",1,0.425625,0.435,0.289389443484036,-0.235321554022572
"212",7,"1",2,0.338125,0.325,0.28643134721372,-0.170175819453114
"213",7,"1",3,0.1775,0.1,0.233823295104088,-0.0492797371062171
"214",7,"1",4,0.20625,0.165,0.221957203082036,-0.082194935369314
"215",7,"1",5,0.0925,0.02,0.158975889157235,-0.00973343253825939
"216",7,"1",6,0.12625,0.025,0.163742684314954,0.00281614111074031
"217",7,"1",7,0.028125,0,0.0999479030962298,0.227964873248974
"218",7,"1",8,0.011875,0,0.0381608438061844,0.26520224604599
"219",7,"1",9,0.016875,0,0.0675,0.33849968145081
"220",7,"1",10,0,0,0,0.369280719182387
"221",7,"2",1,0.955625,1,0.151480196725513,-0.811402122515309
"222",7,"2",2,0.99,1,0.0350238014308365,-0.830226385812822
"223",7,"2",3,0.970625,1,0.0905883546599672,-0.937867383566478
"224",7,"2",4,0.98375,1,0.0393064880140671,-0.914389588899286
"225",7,"2",5,0.79125,0.775,0.153617490323639,-0.490401256398238
"226",7,"2",6,0.604375,0.625,0.232062312034218,-0.374303578804302
"227",7,"2",7,0.736875,0.775,0.241100774227984,-0.491578523152668
"228",7,"2",8,0.73125,0.75,0.189169236399579,-0.469115940002272
"229",7,"2",9,0.654375,0.7,0.251766260646656,-0.429343790286906
"230",7,"2",10,0.765625,0.85,0.22351640506534,-0.553816220013747
"231",7,"4",1,0.00375,0,0.0108781125813871,0.358879336701388
"232",7,"4",2,0.0225,0,0.0517042873786433,0.25634943973216
"233",7,"4",3,0,0,0,0.412952960133856
"234",7,"4",4,0,0,0,0.415295859061853
"235",7,"4",5,0,0,0,0.464467296168135
"236",7,"4",6,0,0,0,0.302739834309608
"237",7,"4",7,0.004375,0,0.0175,0.27013535164447
"238",7,"4",8,0.001875,0,0.0075,0.139579846056685
"239",7,"4",9,0.004375,0,0.0175,0.271478860870286
"240",7,"4",10,0.010625,0,0.0425,0.287943398706294
"241",8,"1",1,0,0,0,0.717567608994791
"242",8,"1",2,0.18625,0.035,0.268846300575874,-0.00887471347443076
"243",8,"1",3,0.00375,0,0.015,0.220366757763566
"244",8,"1",4,0.080625,0,0.144289928038423,0.0329578053543878
"245",8,"1",5,0.166875,0.075,0.195233834157914,-0.0346514696971534
"246",8,"1",6,0.089375,0,0.189753129091459,0.170238963333414
"247",8,"1",7,0.005,0,0.02,0.337350715160998
"248",8,"1",8,0.0425,0,0.0965056129628393,0.419591558748347
"249",8,"1",9,0,0,0,0.365546177907879
"250",8,"1",10,0.2325,0.125,0.281010082855877,-0.0620386082909153
"251",8,"2",1,0.389375,0.495,0.254596903620868,-0.283987231754807
"252",8,"2",2,0.590625,0.635,0.32785095699113,-0.383649055628727
"253",8,"2",3,0.294375,0.345,0.263513914876109,-0.188622903033277
"254",8,"2",4,0.406875,0.395,0.30721802789984,-0.219035514285699
"255",8,"2",5,0.206875,0,0.304974725728762,0.0248556512374824
"256",8,"2",6,0.438125,0.46,0.313798635008716,-0.262088154375716
"257",8,"2",7,0.255625,0.19,0.221869894307452,-0.101333294054523
"258",8,"2",8,0.095625,0,0.183665229879438,0.025592963515259
"259",8,"2",9,0.049375,0,0.13303978101806,0.160189917572896
"260",8,"2",10,0.165,0,0.220816666037688,0.0310827546014331
"261",8,"4",1,0.46625,0.48,0.250516133878306,-0.263919371291694
"262",8,"4",2,0.39625,0.325,0.356312129085347,-0.167935379297388
"263",8,"4",3,0.186875,0.055,0.220928910134761,-0.01893683760727
"264",8,"4",4,0.255625,0.23,0.26288067635336,-0.116684999059764
"265",8,"4",5,0.26125,0.015,0.323808070725031,8.42666255888181e-05
"266",8,"4",6,0.259375,0.255,0.25663122049613,-0.131159617549692
"267",8,"4",7,0,0,0,0.491339831532897
"268",8,"4",8,0.01125,0,0.0399791612384919,0.179176370448416
"269",8,"4",9,0.05625,0,0.134306862569763,0.233458712647793
"270",8,"4",10,0.066875,0,0.158354823103056,0.0848070827471273
"271",9,"1",1,0.0675,0,0.189578479791352,0.234330504913324
"272",9,"1",2,0.4225,0.375,0.37835609329484,-0.19768809938994
"273",9,"1",3,0.085,0,0.175764994618762,0.557164767088407
"274",9,"1",4,0.19,0,0.266483270269136,0.181313838662099
"275",9,"1",5,0.270625,0,0.387530106357343,0.0471923512901144
"276",9,"1",6,0.17875,0,0.260918250287965,0.0394815326201358
"277",9,"1",7,0.233125,0,0.32421636294302,0.083517721776406
"278",9,"1",8,0.15125,0,0.329178269837687,0.380388801654374
"279",9,"1",9,0.19375,0,0.353720699611054,0.158192020140133
"280",9,"1",10,0.2,0,0.309257174532783,0.0848070827471273
"281",9,"2",1,0.271875,0.2,0.301246715058162,-0.100433147504438
"282",9,"2",2,0.355625,0.315,0.328957317393407,-0.172172653312919
"283",9,"2",3,0.2925,0.075,0.337648732659648,-0.0384180895700225
"284",9,"2",4,0.151875,0,0.236000529660423,0.022991652395557
"285",9,"2",5,0.306875,0,0.394828549288591,0.164695196409606
"286",9,"2",6,0.100625,0,0.2099672593525,0.616243222102761
"287",9,"2",7,0.44625,0.455,0.303488055778148,-0.256468854951764
"288",9,"2",8,0.253125,0.255,0.234285260597702,-0.136118541808025
"289",9,"2",9,0.248125,0.145,0.290292237811026,-0.0776126374044498
"290",9,"2",10,0.01,0,0.04,2.63883932584573
"291",9,"4",1,0.01,0,0.04,1.63661166335172
"292",9,"4",2,0.106875,0,0.266851238208357,0.275708557766025
"293",9,"4",3,0.10125,0,0.168597153000874,0.183475990142106
"294",9,"4",4,0.09875,0,0.146007990648914,0.0971081572607042
"295",9,"4",5,0,0,0,0.352592738375983
"296",9,"4",6,0.04125,0,0.114825955254028,1.94553584004108
"297",9,"4",7,0,0,0,2.52281180518326
"298",9,"4",8,0,0,0,2.29955740241982
"299",9,"4",9,0,0,0,2.49415231302478
"300",9,"4",10,0,0,0,2.43990116532249
"301",10,"1",1,0.2075,0.065,0.28022609918897,-0.0307871962168401
"302",10,"1",2,0.17875,0.085,0.22791445763707,-0.0413690659050559
"303",10,"1",3,0.123125,0.08,0.148849756466042,-0.0389986665015774
"304",10,"1",4,0.031875,0,0.122268488717794,0.153884053148274
"305",10,"1",5,0.19625,0.18,0.203956694749972,-0.0912701176376456
"306",10,"1",6,0.118125,0,0.159089859303896,0.0253845402089065
"307",10,"1",7,0.21125,0.09,0.267204665627929,-0.0454731908514119
"308",10,"1",8,0.19125,0,0.310802724140786,0.162995599037101
"309",10,"1",9,0.07625,0,0.165564690277446,0.197045542931362
"310",10,"1",10,0.138125,0.035,0.213017018099494,-0.0156786446492878
"311",10,"2",1,0.11125,0.015,0.204804785100349,0.0523761290721838
"312",10,"2",2,0.1775,0,0.284850838159202,0.0205324277138811
"313",10,"2",3,0.02125,0,0.0620617971594979,0.186569855445306
"314",10,"2",4,0.014375,0,0.0575,0.273830748246592
"315",10,"2",5,0.06875,0,0.143753260832581,0.160368034643557
"316",10,"2",6,0.23875,0.215,0.268001865665148,-0.114850009735152
"317",10,"2",7,0.160625,0.015,0.200813968637642,0.0139219784925467
"318",10,"2",8,0.073125,0,0.148086404957826,0.22854058781386
"319",10,"2",9,0.1425,0,0.199415813481947,0.180731273971808
"320",10,"2",10,0.174375,0.015,0.248273203010984,0.0017619209594399
"321",10,"4",1,0.30125,0.31,0.224525425434775,-0.161045045135856
"322",10,"4",2,0.24,0.19,0.233552278230521,-0.094853839361459
"323",10,"4",3,0.2825,0.27,0.287877288672332,-0.142665095883267
"324",10,"4",4,0.16875,0.05,0.251154003219804,-0.0251245027695069
"325",10,"4",5,0.441875,0.415,0.355194195710835,-0.222946752054783
"326",10,"4",6,0.12875,0,0.2391338537305,0.259690755076313
"327",10,"4",7,0.125625,0,0.221509029161341,0.0969397164929782
"328",10,"4",8,0.2125,0,0.282642294546776,0.0143163277480833
"329",10,"4",9,0.208125,0.07,0.270165844127886,-0.0339069442700316
"330",10,"4",10,0.17875,0,0.340624426605022,0.10635772465225
"331",11,"1",1,0,0,0,1.86752292278646
"332",11,"1",2,0,0,0,1.85043084364996
"333",11,"1",3,0,0,0,1.31885795225656
"334",11,"1",4,0,0,0,0.893903277593181
"335",11,"1",5,0,0,0,0.812067800499241
"336",11,"1",6,0,0,0,1.16866772582041
"337",11,"1",7,0,0,0,0.847742850804039
"338",11,"1",8,0.000625,0,0.0025,0.349439589009689
"339",11,"1",9,0,0,0,1.74416797575597
"340",11,"1",10,0,0,0,1.19015473853811
"341",11,"2",1,0,0,0,1.40124624843171
"342",11,"2",2,0,0,0,1.17635040193506
"343",11,"2",3,0,0,0,0.681040105354195
"344",11,"2",4,0,0,0,1.01216347610082
"345",11,"2",5,0.01625,0,0.065,0.455336565403081
"346",11,"2",6,0,0,0,0.818481643145549
"347",11,"2",7,0,0,0,0.956908204570937
"348",11,"2",8,0,0,0,0.507341835436317
"349",11,"2",9,0,0,0,0.891659115261715
"350",11,"2",10,0,0,0,0.693294200922971
"351",11,"4",1,0,0,0,2.0925236281397
"352",11,"4",2,0,0,0,2.28912117220821
"353",11,"4",3,0,0,0,1.62864950235847
"354",11,"4",4,0,0,0,2.05583588276996
"355",11,"4",5,0,0,0,1.55021063736696
"356",11,"4",6,0,0,0,1.30773198500787
"357",11,"4",7,0,0,0,1.37548234038677
"358",11,"4",8,0,0,0,1.21670302484638
"359",11,"4",9,0,0,0,1.23948488318689
"360",11,"4",10,0,0,0,1.47082196133867
